epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,924.157,1.40608,5.51478,1.56733,0.59708,0.47699,0.50352,0.31931,1.28637,4.93646,1.50196,0.00999162,0.00333054,0.00999162,0.00333054,0.00999162,0.00333054,0.00999162,0.00333054
2,1777.45,1.3941,5.08063,1.55917,0.60394,0.45914,0.48361,0.30779,1.27765,4.73506,1.54588,0.0195958,0.00653193,0.0195958,0.00653193,0.0195958,0.00653193,0.0195958,0.00653193
3,2576.79,1.45427,5.54186,1.63234,0.4324,0.35162,0.3239,0.17677,1.57513,6.10227,1.80784,0.028804,0.00960132,0.028804,0.00960132,0.028804,0.00960132,0.028804,0.00960132
4,3372.97,1.46462,5.64324,1.65146,0.57291,0.42785,0.44283,0.276,1.30873,4.77534,1.56883,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4170.36,1.40718,5.1282,1.59436,0.63312,0.51031,0.56432,0.37996,1.1743,3.79084,1.45856,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4967.38,1.36455,4.84515,1.56369,0.69812,0.5306,0.60441,0.42052,1.11362,3.48249,1.4073,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,5764,1.33584,4.61736,1.54276,0.73925,0.56534,0.64401,0.4463,1.11434,3.25513,1.39137,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,6559.74,1.30997,4.41126,1.52084,0.74289,0.58482,0.66978,0.47094,1.08708,3.0289,1.36113,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,7356.35,1.29325,4.31192,1.5076,0.77107,0.58869,0.68367,0.49166,1.05014,2.98066,1.33474,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,8154.07,1.28919,4.16732,1.49419,0.76705,0.62074,0.70096,0.50711,1.03153,2.8269,1.31471,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,8948.07,1.2691,4.07634,1.48029,0.78245,0.6219,0.70839,0.51816,1.00726,2.74297,1.29323,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,9743.74,1.25222,3.97736,1.4716,0.78757,0.63064,0.7184,0.52831,0.98476,2.68925,1.29393,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,10539.6,1.23841,3.89535,1.46156,0.79199,0.64512,0.7323,0.53912,0.98326,2.58998,1.27416,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
